serialno,sample_geog,age,race,sex,AGEP,SEX,RAC1P
2010001075707,1,20 to 35,white,male,32,1,1
2010001094385,1,20 to 35,white,male,24,1,1
2010001106149,1,20 to 35,white,male,29,1,1
2010001109011,1,20 to 35,white,male,25,1,1
2010001112089,1,20 to 35,white,male,24,1,1
2010001114930,1,20 to 35,white,male,28,1,1
2010001121443,1,20 to 35,white,male,22,1,1
2010001123669,1,20 to 35,white,male,20,1,1
2010001127004,1,20 to 35,white,male,33,1,1
2010001128243,1,20 to 35,white,male,26,1,1
2010001128797,1,20 to 35,white,male,28,1,1
2010001139735,1,20 to 35,white,male,20,1,1
2010001146059,1,20 to 35,white,male,23,1,1
2010001186242,1,20 to 35,white,male,25,1,1
2010001193503,1,20 to 35,white,male,33,1,1
2010001205719,1,20 to 35,white,male,27,1,1
2010001205719,1,20 to 35,white,male,25,1,1
2010001205719,1,20 to 35,white,male,20,1,1
2010001215357,1,20 to 35,white,male,31,1,1
2010001217150,1,20 to 35,white,male,21,1,1
2010001221525,1,20 to 35,white,male,32,1,1
2010001238390,1,20 to 35,white,male,23,1,1
2010001246472,1,20 to 35,white,male,21,1,1
2010001270690,1,20 to 35,white,male,20,1,1
2010001301221,1,20 to 35,white,male,20,1,1
2010001301647,1,20 to 35,white,male,33,1,1
2010001301829,1,20 to 35,white,male,25,1,1
2010001320635,1,20 to 35,white,male,28,1,1
2010001330336,1,20 to 35,white,male,20,1,1
2010001335495,1,20 to 35,white,male,32,1,1
2010001338914,1,20 to 35,white,male,34,1,1
2010001341632,1,20 to 35,white,male,33,1,1
2010001356783,1,20 to 35,white,male,33,1,1
2010001385772,1,20 to 35,white,male,21,1,1
2010001390936,1,20 to 35,white,male,28,1,1
2010001399052,1,20 to 35,white,male,20,1,1
2010001412916,1,20 to 35,white,male,28,1,1
2011000002655,1,20 to 35,white,male,27,1,1
2011000002655,1,20 to 35,white,male,23,1,1
2011000020021,1,20 to 35,white,male,27,1,1
2011000030184,1,20 to 35,white,male,30,1,1
2011000034892,1,20 to 35,white,male,28,1,1
2011000037794,1,20 to 35,white,male,22,1,1
2011000059366,1,20 to 35,white,male,21,1,1
2011000061128,1,20 to 35,white,male,25,1,1
2011000075546,1,20 to 35,white,male,21,1,1
2011000087129,1,20 to 35,white,male,22,1,1
2011000107961,1,20 to 35,white,male,29,1,1
2011000112482,1,20 to 35,white,male,29,1,1
2011000122512,1,20 to 35,white,male,31,1,1
2011000144879,1,20 to 35,white,male,22,1,1
2011000145256,1,20 to 35,white,male,23,1,1
2011000154743,1,20 to 35,white,male,29,1,1
2011000164171,1,20 to 35,white,male,23,1,1
2011000190905,1,20 to 35,white,male,32,1,1
2011000193042,1,20 to 35,white,male,22,1,1
2011000199921,1,20 to 35,white,male,26,1,1
2011000199921,1,20 to 35,white,male,28,1,1
2011000208536,1,20 to 35,white,male,31,1,1
2011000210235,1,20 to 35,white,male,32,1,1
2011000223174,1,20 to 35,white,male,26,1,1
2011000225908,1,20 to 35,white,male,21,1,1
2011000230302,1,20 to 35,white,male,26,1,1
